@relation train_80p100_38556_weather_only

@attribute weather_description {'overcast clouds',haze,'scattered clouds','sky is clear','broken clouds',mist,'moderate rain','Sky is Clear','light snow','heavy snow','proximity thunderstorm','few clouds','light rain','light intensity drizzle',fog,'heavy intensity rain',snow,drizzle,'proximity shower rain',thunderstorm,smoke,'thunderstorm with light rain','very heavy rain','heavy intensity drizzle','proximity thunderstorm with rain','thunderstorm with rain','shower drizzle','light shower snow','thunderstorm with heavy rain','thunderstorm with light drizzle','proximity thunderstorm with drizzle',SQUALLS,'light intensity shower rain','freezing rain','light rain and snow',sleet,'thunderstorm with drizzle'}
@attribute traffic_volume numeric

@data
'few clouds',341
'broken clouds',611
'sky is clear',5249
'few clouds',4546
'light snow',314
'overcast clouds',5138
'sky is clear',744
'broken clouds',349
'sky is clear',2924
'overcast clouds',4293
mist,6261
'broken clouds',4846
'sky is clear',4455
'Sky is Clear',368
'few clouds',1346
'proximity shower rain',2788
'few clouds',4727
'proximity thunderstorm',2910
'sky is clear',5042
'light rain',369
'scattered clouds',4939
'sky is clear',5573
'few clouds',2755
fog,255
'scattered clouds',5448
'light intensity drizzle',4056
mist,5522
'broken clouds',5118
'Sky is Clear',5954
'light snow',2593
'sky is clear',405
'sky is clear',602
'moderate rain',3613
'heavy snow',6380
mist,300
'sky is clear',5301
'heavy intensity rain',4833
'overcast clouds',1644
'sky is clear',238
'sky is clear',5490
'Sky is Clear',5294
'sky is clear',4291
'scattered clouds',3647
'Sky is Clear',4394
'few clouds',866
mist,474
'overcast clouds',5412
'light intensity drizzle',1115
'sky is clear',959
'broken clouds',2473
mist,531
mist,1034
'proximity thunderstorm',668
'broken clouds',1152
'scattered clouds',4654
'broken clouds',6556
'light rain',6270
'sky is clear',2603
mist,260
'light intensity drizzle',3034
'sky is clear',387
'Sky is Clear',3321
'sky is clear',5868
'overcast clouds',2921
'proximity shower rain',6571
'few clouds',6383
'sky is clear',5466
snow,3311
mist,2137
'broken clouds',5877
'Sky is Clear',3516
'sky is clear',4061
mist,2713
'proximity thunderstorm with rain',3274
mist,2543
mist,367
'light snow',4439
'sky is clear',1330
'sky is clear',3233
'broken clouds',5818
'heavy intensity rain',5990
'scattered clouds',739
'moderate rain',6029
mist,4269
'light snow',364
drizzle,2781
'broken clouds',2837
'sky is clear',4201
mist,5637
'sky is clear',4723
'Sky is Clear',2978
'sky is clear',4241
'sky is clear',4569
'sky is clear',3711
'overcast clouds',3552
'light snow',1407
mist,1070
'scattered clouds',3829
mist,6128
'overcast clouds',464
'sky is clear',2692
'proximity thunderstorm',6477
'sky is clear',4037
'overcast clouds',3697
'sky is clear',2843
'sky is clear',947
'overcast clouds',2581
mist,5870
'Sky is Clear',5842
'light snow',613
'light intensity drizzle',2711
'scattered clouds',3060
mist,283
'broken clouds',373
'light intensity drizzle',2227
'sky is clear',790
'heavy snow',707
'sky is clear',3162
drizzle,3021
snow,1906
'broken clouds',2213
'sky is clear',6613
'sky is clear',3782
'sky is clear',2623
'light intensity drizzle',269
'heavy snow',1190
mist,357
'sky is clear',6403
'sky is clear',5376
'light snow',3485
'light rain',3117
'scattered clouds',4306
'moderate rain',352
'broken clouds',2896
'scattered clouds',3777
mist,3405
'overcast clouds',268
'broken clouds',3114
'broken clouds',3277
'broken clouds',3349
'moderate rain',1027
mist,2564
'Sky is Clear',1886
'sky is clear',237
'overcast clouds',6809
'moderate rain',1014
'Sky is Clear',5602
'proximity thunderstorm',4332
'sky is clear',2795
'overcast clouds',3651
mist,2866
'scattered clouds',3669
mist,1709
mist,4788
'overcast clouds',4519
'light rain',5269
'sky is clear',1000
mist,336
mist,798
'sky is clear',4549
mist,5798
'sky is clear',1433
'scattered clouds',5969
'broken clouds',4944
haze,797
'sky is clear',302
'overcast clouds',4582
'broken clouds',4807
'Sky is Clear',4639
mist,6222
'Sky is Clear',1848
'broken clouds',2909
'sky is clear',278
'light rain',1866
mist,2455
'light rain',6092
'scattered clouds',2327
'sky is clear',3068
'overcast clouds',4239
mist,4869
'broken clouds',251
'sky is clear',591
'broken clouds',2889
'scattered clouds',2929
'overcast clouds',4782
'overcast clouds',4665
'sky is clear',779
mist,896
'light rain',2568
mist,2550
'light snow',6670
mist,2336
'broken clouds',5907
'few clouds',6375
'broken clouds',5017
'overcast clouds',4859
'heavy snow',5239
'broken clouds',3307
'proximity thunderstorm',5045
'broken clouds',4917
'moderate rain',286
'sky is clear',731
'heavy snow',2196
'sky is clear',382
'sky is clear',5927
haze,2892
'few clouds',4632
'overcast clouds',467
'light rain',4226
drizzle,5786
'sky is clear',2956
'sky is clear',832
fog,1358
'light snow',3002
mist,5084
haze,6286
'light rain',5665
mist,330
'sky is clear',2188
'light snow',4085
'proximity thunderstorm',428
'heavy snow',2043
haze,2904
'scattered clouds',5720
haze,2591
'light rain',6282
'overcast clouds',1336
'light snow',3531
'Sky is Clear',1761
'scattered clouds',3934
mist,3092
snow,867
'scattered clouds',4539
'overcast clouds',1451
'light rain',5687
fog,5732
'light rain',443
'light snow',4199
'sky is clear',2847
'broken clouds',5214
'light rain',2950
'light intensity drizzle',4539
haze,590
'light intensity drizzle',971
'light snow',2572
'sky is clear',4803
'sky is clear',341
haze,1613
'few clouds',379
'sky is clear',977
'sky is clear',2583
'scattered clouds',1342
'broken clouds',3217
'sky is clear',834
'light snow',3454
'broken clouds',5004
'overcast clouds',6453
'Sky is Clear',3559
'few clouds',5146
'light rain',4399
'sky is clear',4637
'overcast clouds',791
'broken clouds',4382
'proximity thunderstorm',5323
'Sky is Clear',6144
mist,4215
mist,2048
'broken clouds',2212
'sky is clear',2103
'sky is clear',3475
'light rain',6590
mist,278
'sky is clear',6596
'light snow',3351
'sky is clear',821
'moderate rain',242
'overcast clouds',2360
'scattered clouds',6525
'sky is clear',1416
'sky is clear',1560
'overcast clouds',5245
'sky is clear',1353
'few clouds',2783
'light intensity drizzle',1629
'light intensity drizzle',260
'scattered clouds',865
'sky is clear',4868
fog,6727
'overcast clouds',961
'light rain',5244
mist,6100
'scattered clouds',6780
mist,367
'light intensity drizzle',4354
'broken clouds',3783
'sky is clear',322
'light snow',982
'sky is clear',6371
'sky is clear',812
mist,522
'sky is clear',3721
mist,2864
'broken clouds',4566
'overcast clouds',3559
drizzle,3348
'moderate rain',690
'sky is clear',3746
'overcast clouds',331
mist,2798
mist,2651
'light rain',4941
'few clouds',4726
haze,419
'overcast clouds',499
'sky is clear',2091
'sky is clear',981
'heavy snow',4938
'sky is clear',812
'light snow',2631
'light rain',955
'sky is clear',2382
'light rain',5857
'sky is clear',1379
'sky is clear',6336
'broken clouds',284
'light rain',800
'broken clouds',6071
'sky is clear',5729
'sky is clear',289
'Sky is Clear',3923
mist,4532
haze,4051
'sky is clear',3268
'sky is clear',2285
'light rain',3667
'scattered clouds',5814
'sky is clear',5097
'sky is clear',533
'few clouds',4807
'few clouds',2778
'proximity thunderstorm',5764
'overcast clouds',4776
mist,1474
'broken clouds',4297
'sky is clear',1608
mist,2243
drizzle,4629
'overcast clouds',5087
'overcast clouds',4911
'sky is clear',5446
'sky is clear',1242
'light rain',5780
'few clouds',303
'sky is clear',2063
'broken clouds',492
'broken clouds',4136
mist,428
mist,4563
'overcast clouds',563
'light rain',4039
'Sky is Clear',730
'sky is clear',3351
'light snow',4145
'broken clouds',5146
'Sky is Clear',5610
'sky is clear',4747
'overcast clouds',261
'overcast clouds',5353
'broken clouds',4778
'broken clouds',4699
'Sky is Clear',5236
'overcast clouds',3905
'overcast clouds',2606
'moderate rain',955
'scattered clouds',3154
'overcast clouds',2766
'broken clouds',5237
'heavy intensity rain',356
'light snow',3970
'sky is clear',4462
'overcast clouds',3305
'overcast clouds',5978
'sky is clear',2766
'sky is clear',6542
'broken clouds',536
'scattered clouds',3038
'overcast clouds',4663
'light snow',1141
'broken clouds',5165
'Sky is Clear',5542
'sky is clear',2020
mist,471
'sky is clear',4921
'light rain',2643
'thunderstorm with rain',6778
'light snow',2176
'overcast clouds',4268
'sky is clear',4040
'light rain',369
'sky is clear',690
'sky is clear',6232
haze,2809
mist,4477
'broken clouds',5389
'sky is clear',3587
'sky is clear',3635
'light rain',5803
haze,387
'light rain',2543
'overcast clouds',4298
'sky is clear',5639
'broken clouds',287
'sky is clear',2862
mist,291
'scattered clouds',5849
drizzle,3243
mist,1009
haze,4012
'broken clouds',5703
drizzle,3560
'scattered clouds',4541
'sky is clear',4995
mist,5777
'light rain',2921
'sky is clear',4353
'sky is clear',1072
fog,321
'broken clouds',3124
'heavy snow',5263
'broken clouds',2063
'broken clouds',5321
'sky is clear',3914
mist,859
'sky is clear',4816
'sky is clear',6069
haze,3696
'scattered clouds',2661
'light rain',669
mist,3524
'Sky is Clear',2987
'overcast clouds',2494
mist,5043
'sky is clear',4691
'sky is clear',3822
'overcast clouds',4942
'heavy intensity rain',3925
'sky is clear',426
'Sky is Clear',918
mist,2928
'Sky is Clear',6503
drizzle,3093
'broken clouds',1971
'light rain',5207
'light rain',881
'Sky is Clear',2732
'sky is clear',4531
'light rain',350
haze,3699
'overcast clouds',930
'sky is clear',5814
mist,3331
'light rain',5902
'sky is clear',3554
'broken clouds',5022
'proximity shower rain',6088
mist,1660
'broken clouds',4830
'scattered clouds',476
'sky is clear',932
'few clouds',282
'overcast clouds',6828
'sky is clear',5061
'light intensity drizzle',780
'light rain',5837
snow,327
'light snow',4476
'sky is clear',659
mist,4270
'sky is clear',718
'sky is clear',4274
'light snow',4726
'scattered clouds',4879
'heavy snow',3766
'few clouds',6260
'overcast clouds',2049
'light rain',2576
'overcast clouds',305
'overcast clouds',3612
'sky is clear',2107
'broken clouds',5096
haze,3761
mist,1303
'moderate rain',5034
'sky is clear',5832
'overcast clouds',2859
'overcast clouds',363
mist,462
mist,625
'overcast clouds',4993
'sky is clear',2666
'broken clouds',4988
mist,2143
'light rain',1524
'overcast clouds',4857
'scattered clouds',3229
mist,2749
'few clouds',735
'sky is clear',408
'light snow',434
'light snow',798
'broken clouds',5684
mist,4904
'light snow',151
'moderate rain',566
'Sky is Clear',1439
'overcast clouds',2724
mist,4016
haze,2944
'light rain',455
'sky is clear',6183
'scattered clouds',5506
'sky is clear',3368
haze,372
'sky is clear',830
'broken clouds',4557
'sky is clear',368
'few clouds',2053
'broken clouds',3358
'light intensity drizzle',6793
'scattered clouds',723
'broken clouds',5025
'light rain',418
'light snow',237
mist,374
mist,4323
'overcast clouds',330
'light intensity drizzle',4562
'light snow',4367
'broken clouds',1016
'scattered clouds',5521
'overcast clouds',4185
'heavy snow',3418
'sky is clear',605
'moderate rain',264
'few clouds',4861
'sky is clear',5560
'light rain',5909
'broken clouds',2744
mist,5400
'scattered clouds',5168
'broken clouds',2083
'light snow',5122
'moderate rain',5196
'scattered clouds',4132
'light rain',2794
'scattered clouds',3078
'broken clouds',341
mist,2336
'overcast clouds',335
'light rain',6266
mist,342
'light rain',867
'sky is clear',434
'sky is clear',4287
'heavy intensity rain',5655
'light rain',2744
'overcast clouds',3308
'few clouds',3068
'overcast clouds',4160
fog,3843
'light snow',3092
'scattered clouds',5866
'sky is clear',1589
'sky is clear',1069
'scattered clouds',6735
'broken clouds',2512
'sky is clear',4866
'overcast clouds',2582
'overcast clouds',2539
'overcast clouds',4329
haze,771
'sky is clear',4784
mist,674
'light rain',424
'overcast clouds',4668
'sky is clear',4373
'light rain',1815
'sky is clear',1432
mist,1642
'overcast clouds',6646
fog,446
'sky is clear',5128
'sky is clear',5953
'sky is clear',1811
'overcast clouds',2764
'sky is clear',3206
'scattered clouds',5254
'moderate rain',1035
'sky is clear',509
'sky is clear',4789
'overcast clouds',5089
'light rain',2024
'sky is clear',701
fog,315
mist,4024
'sky is clear',305
'moderate rain',3863
'broken clouds',3451
'light rain',4272
'broken clouds',4634
'sky is clear',5482
snow,3882
'sky is clear',2082
mist,2486
'moderate rain',4580
'Sky is Clear',2233
'scattered clouds',353
mist,5123
'few clouds',3110
'sky is clear',532
'broken clouds',4644
'broken clouds',5734
'sky is clear',700
'proximity thunderstorm with drizzle',5272
'sky is clear',4771
mist,340
'sky is clear',5937
'sky is clear',527
'broken clouds',3671
'heavy intensity rain',5199
'overcast clouds',2693
fog,498
mist,657
'overcast clouds',1103
'moderate rain',576
'heavy intensity rain',4922
haze,5084
mist,369
'overcast clouds',6250
snow,4265
'Sky is Clear',4681
'overcast clouds',5589
'overcast clouds',4394
'broken clouds',1187
'sky is clear',4545
'proximity thunderstorm',6584
'overcast clouds',1984
'heavy intensity rain',5434
'scattered clouds',5904
'sky is clear',3056
'proximity thunderstorm',5687
'Sky is Clear',4605
'sky is clear',330
'sky is clear',265
drizzle,4266
'heavy snow',5074
haze,3426
'broken clouds',627
'light rain',5106
'few clouds',4867
'light intensity drizzle',516
'scattered clouds',5691
'light rain',4547
'heavy intensity drizzle',3101
'scattered clouds',4042
'sky is clear',3347
'scattered clouds',1009
fog,343
'light rain',2101
'sky is clear',3666
fog,5870
'overcast clouds',3994
'sky is clear',1647
'sky is clear',5215
mist,339
'scattered clouds',3070
'broken clouds',5431
'broken clouds',4277
'sky is clear',5411
drizzle,5494
'few clouds',471
'light rain',436
'broken clouds',6952
'light snow',4765
'overcast clouds',4984
'overcast clouds',337
'Sky is Clear',335
'moderate rain',1936
'heavy snow',426
'sky is clear',854
thunderstorm,6018
'overcast clouds',4262
'Sky is Clear',392
mist,520
'sky is clear',7007
'scattered clouds',6560
'light rain',1654
'scattered clouds',5727
'overcast clouds',6143
drizzle,1587
'sky is clear',1529
'Sky is Clear',5571
'few clouds',477
'scattered clouds',5365
fog,301
'sky is clear',4475
'sky is clear',3485
'sky is clear',2806
'light rain',6134
mist,5151
'moderate rain',883
'sky is clear',2185
mist,2870
snow,5167
'sky is clear',381
'scattered clouds',5203
'overcast clouds',4385
mist,557
'sky is clear',3404
mist,1045
'light snow',241
'Sky is Clear',6054
drizzle,597
mist,1741
'scattered clouds',5977
'light rain',4065
snow,2542
'sky is clear',339
'broken clouds',6340
'sky is clear',5278
'overcast clouds',6034
'thunderstorm with light drizzle',858
'sky is clear',5670
'sky is clear',4946
'sky is clear',4751
'scattered clouds',4202
'broken clouds',4357
mist,655
'light rain',397
mist,4982
'sky is clear',5794
'sky is clear',5699
mist,372
'sky is clear',3400
'broken clouds',4503
mist,341
'Sky is Clear',3306
'overcast clouds',5741
mist,3716
'sky is clear',5928
'scattered clouds',3993
fog,878
'Sky is Clear',403
'few clouds',4565
'broken clouds',2586
'sky is clear',4816
'sky is clear',3101
'scattered clouds',6101
'overcast clouds',2977
'sky is clear',3420
'overcast clouds',3327
'scattered clouds',5097
'sky is clear',1717
'sky is clear',2974
'moderate rain',1531
'overcast clouds',2407
'sky is clear',3237
'overcast clouds',5445
'scattered clouds',961
'moderate rain',3489
'light snow',4782
'light intensity drizzle',4076
'light rain',6309
'moderate rain',5115
'sky is clear',5573
'Sky is Clear',6520
'light rain',4186
'sky is clear',4538
'light rain',4872
snow,2247
'overcast clouds',1741
'sky is clear',914
'light intensity drizzle',4253
'sky is clear',292
'sky is clear',3737
snow,4871
mist,4576
'sky is clear',244
snow,1613
'light rain',239
'light rain',7149
mist,3529
'proximity thunderstorm',2672
mist,678
'sky is clear',1284
'sky is clear',3393
mist,5642
'proximity thunderstorm',2725
'light rain',5344
'light intensity drizzle',5788
'sky is clear',5522
mist,4517
'sky is clear',5584
'broken clouds',3200
'few clouds',6295
'sky is clear',6851
haze,4742
mist,4416
'sky is clear',4065
mist,3481
'overcast clouds',4706
'sky is clear',6640
'light rain',2106
'sky is clear',550
'overcast clouds',6255
'sky is clear',2800
mist,361
'overcast clouds',4502
mist,4540
haze,3101
'broken clouds',805
mist,6532
'broken clouds',509
mist,754
'broken clouds',713
mist,1242
'sky is clear',432
mist,1399
'light rain',4502
mist,392
'overcast clouds',3724
'sky is clear',828
'Sky is Clear',4519
'scattered clouds',835
fog,382
'sky is clear',2737
'sky is clear',595
'overcast clouds',6263
'sky is clear',663
'sky is clear',4704
'light rain',2539
mist,3062
'sky is clear',4700
'light rain',4766
'light snow',521
drizzle,5339
'scattered clouds',5601
'broken clouds',6559
'sky is clear',1589
mist,2833
'sky is clear',3539
'sky is clear',3711
mist,915
snow,1657
snow,2314
'few clouds',5240
'few clouds',4413
'scattered clouds',4871
'few clouds',349
'sky is clear',279
'sky is clear',3266
'sky is clear',256
'light rain',5633
'light snow',2866
mist,5736
'broken clouds',1132
'sky is clear',6617
fog,971
'light rain',4585
'sky is clear',4855
'sky is clear',493
'moderate rain',5719
'broken clouds',2908
mist,869
'sky is clear',264
'broken clouds',6070
haze,1103
'light snow',3764
'overcast clouds',2657
mist,4542
'scattered clouds',337
'light snow',2554
'overcast clouds',3463
'sky is clear',2218
'overcast clouds',4869
mist,792
'light snow',1043
'broken clouds',4442
'overcast clouds',3096
'heavy intensity rain',6146
mist,3997
mist,660
'light snow',500
'sky is clear',2875
'broken clouds',3029
'sky is clear',375
'heavy intensity rain',4778
mist,5400
'scattered clouds',1388
'light rain',5167
'sky is clear',1255
'proximity thunderstorm',3857
mist,3172
haze,4346
snow,1800
mist,3636
'sky is clear',438
mist,3998
'few clouds',284
'overcast clouds',4468
'moderate rain',905
mist,6014
'moderate rain',4086
'scattered clouds',2772
mist,558
haze,1755
'light snow',2809
'light snow',6125
'scattered clouds',5990
'broken clouds',5023
mist,361
'broken clouds',5202
'sky is clear',5243
mist,4388
'sky is clear',607
'light intensity drizzle',4517
'overcast clouds',4595
'scattered clouds',6367
'sky is clear',6168
'overcast clouds',4396
'light snow',396
'scattered clouds',4273
'broken clouds',5462
'broken clouds',5538
'sky is clear',2573
'sky is clear',4534
'Sky is Clear',1722
mist,4357
'moderate rain',6025
mist,4397
'scattered clouds',4807
'scattered clouds',4776
'light rain',4929
'light snow',2238
'light snow',4166
'moderate rain',893
'broken clouds',3620
'overcast clouds',2565
'broken clouds',402
'sky is clear',5863
'sky is clear',1748
'sky is clear',4939
snow,4625
'overcast clouds',223
'sky is clear',1487
drizzle,4359
haze,3467
mist,2147
'light rain',1755
snow,3753
'light rain',1194
'light rain',6376
'broken clouds',2278
'sky is clear',1165
'light rain',6556
'broken clouds',176
'sky is clear',4842
mist,362
'light rain',6252
'light rain',5662
'broken clouds',2708
'overcast clouds',6402
'light rain',1337
'broken clouds',285
'light rain',650
'overcast clouds',4408
'Sky is Clear',3425
drizzle,5555
fog,254
'broken clouds',2093
'overcast clouds',5109
'moderate rain',4457
'light snow',610
'sky is clear',1911
mist,4911
sleet,5174
fog,433
'sky is clear',1504
'sky is clear',2907
'sky is clear',1532
'sky is clear',4533
'sky is clear',4010
'light snow',2406
'Sky is Clear',4853
'light rain',3762
thunderstorm,3746
'scattered clouds',960
'overcast clouds',2092
'light rain',3056
fog,478
'sky is clear',3836
'light rain',496
'light rain',2891
'proximity thunderstorm with rain',1513
'broken clouds',1408
'overcast clouds',3916
'light rain',2004
'light rain',5185
'scattered clouds',2845
'sky is clear',1228
'moderate rain',7260
'broken clouds',2998
'Sky is Clear',4999
'scattered clouds',5606
mist,5488
'Sky is Clear',4510
mist,424
'overcast clouds',1328
'moderate rain',1368
'sky is clear',2885
'light snow',385
mist,6438
mist,5764
'overcast clouds',5103
'moderate rain',4926
'few clouds',6247
'broken clouds',3898
mist,4444
'light rain',405
'overcast clouds',233
'sky is clear',1841
mist,339
mist,3029
'sky is clear',1909
'sky is clear',875
'sky is clear',6230
'sky is clear',1565
'overcast clouds',3840
haze,6005
'overcast clouds',2747
'light snow',599
'scattered clouds',4045
'sky is clear',3187
'sky is clear',580
'light rain',4917
'scattered clouds',4276
'scattered clouds',4699
'sky is clear',6181
mist,1035
'overcast clouds',4529
'heavy snow',759
'light rain',3945
'overcast clouds',4751
'overcast clouds',1352
mist,804
'overcast clouds',2734
'light rain',1043
'moderate rain',396
'light intensity drizzle',624
'few clouds',2338
'heavy intensity rain',392
'light rain',5586
'few clouds',4968
haze,2048
'few clouds',5235
'light intensity drizzle',391
'broken clouds',5031
'sky is clear',2328
'scattered clouds',24
'moderate rain',3924
'overcast clouds',4689
'light snow',5690
'overcast clouds',3132
'overcast clouds',6175
'broken clouds',3540
'overcast clouds',4759
'sky is clear',4350
haze,4440
'scattered clouds',2516
'light snow',2150
'light rain',4123
'light snow',5960
mist,4861
'sky is clear',3351
'light snow',1796
'moderate rain',5383
'overcast clouds',321
'overcast clouds',802
'broken clouds',2533
mist,3037
'sky is clear',340
'sky is clear',5756
'broken clouds',4879
'sky is clear',1517
mist,6042
'heavy intensity rain',622
mist,5182
'moderate rain',3439
mist,1050
'broken clouds',5346
'broken clouds',3694
'overcast clouds',6286
mist,4378
'light snow',4363
'proximity thunderstorm',3195
'light snow',5083
'sky is clear',2794
'sky is clear',5245
'sky is clear',352
'sky is clear',5875
'overcast clouds',5529
'light intensity drizzle',1410
'sky is clear',927
'sky is clear',4070
mist,368
'moderate rain',1195
'overcast clouds',5712
'sky is clear',2854
'broken clouds',4323
'broken clouds',4112
mist,326
'overcast clouds',6040
'heavy intensity rain',2724
'moderate rain',2923
'light snow',5128
'scattered clouds',3237
'broken clouds',4477
'heavy snow',790
'overcast clouds',821
'sky is clear',655
'sky is clear',1131
'Sky is Clear',4484
'scattered clouds',4523
'overcast clouds',5927
'broken clouds',3034
'moderate rain',3083
'sky is clear',357
'broken clouds',758
mist,409
'sky is clear',1682
drizzle,2066
'scattered clouds',2974
'scattered clouds',262
snow,4658
'sky is clear',6409
'overcast clouds',4848
'light snow',5141
'overcast clouds',5996
'Sky is Clear',3460
'broken clouds',5123
'scattered clouds',2857
'sky is clear',2446
'broken clouds',6972
'Sky is Clear',4144
'broken clouds',724
'scattered clouds',3153
'overcast clouds',2580
'sky is clear',3099
'scattered clouds',5049
'moderate rain',5823
mist,4808
'proximity thunderstorm',3206
fog,812
mist,2010
'sky is clear',6300
'sky is clear',4215
'light rain',2776
mist,2815
'sky is clear',4034
'light snow',5556
mist,399
'sky is clear',5334
fog,323
haze,3074
'scattered clouds',5407
snow,2300
'scattered clouds',840
'sky is clear',5979
haze,4747
'proximity shower rain',4609
'few clouds',429
'light snow',360
'broken clouds',4936
'sky is clear',555
'thunderstorm with heavy rain',4063
'sky is clear',3319
'overcast clouds',3475
'few clouds',3644
fog,405
'scattered clouds',6628
'light snow',5425
'overcast clouds',6364
'overcast clouds',2730
'broken clouds',382
'broken clouds',377
mist,5335
'broken clouds',3397
'scattered clouds',3554
'overcast clouds',5221
'broken clouds',3686
'light rain',1063
'sky is clear',5675
'heavy intensity rain',3020
'light rain',278
fog,252
'overcast clouds',6945
'sky is clear',2713
'sky is clear',5573
'sky is clear',5827
'moderate rain',4423
'moderate rain',2433
'sky is clear',744
'scattered clouds',6277
mist,2732
'light rain',5542
'sky is clear',1720
'broken clouds',5188
'light rain',649
haze,4837
'sky is clear',1984
'overcast clouds',396
mist,332
'broken clouds',5501
'overcast clouds',1049
'heavy snow',314
'scattered clouds',5496
'Sky is Clear',6550
'sky is clear',3569
'overcast clouds',328
'scattered clouds',5992
'heavy intensity rain',4549
mist,5614
'overcast clouds',5228
'moderate rain',3408
mist,4979
'light rain',1431
'few clouds',4590
'sky is clear',713
'overcast clouds',3144
'overcast clouds',5490
'overcast clouds',4110
'few clouds',2886
'scattered clouds',5465
'light snow',5459
'sky is clear',5813
'light snow',1057
'Sky is Clear',1498
'light rain',1160
'overcast clouds',2681
'scattered clouds',329
'light rain',4159
'light intensity drizzle',665
'sky is clear',1747
'sky is clear',4498
haze,5393
'sky is clear',3679
'light rain',6589
'overcast clouds',2617
'few clouds',3180
'light snow',5549
'light rain',4494
mist,333
'sky is clear',2124
mist,380
'scattered clouds',4418
mist,3029
'scattered clouds',4159
'broken clouds',5096
'overcast clouds',4877
'sky is clear',2239
'few clouds',820
'light snow',1481
drizzle,583
'light intensity drizzle',4802
'few clouds',5510
'broken clouds',375
'thunderstorm with heavy rain',4302
'sky is clear',3146
'light rain',3446
'broken clouds',4735
'sky is clear',2965
'scattered clouds',6686
'light snow',3203
'moderate rain',2577
'few clouds',5135
fog,5897
'overcast clouds',1845
'Sky is Clear',5615
mist,5831
fog,1818
'scattered clouds',4610
'sky is clear',933
mist,356
'sky is clear',883
'light snow',4553
'sky is clear',2931
'scattered clouds',2458
'overcast clouds',269
'broken clouds',5915
'scattered clouds',4200
'light snow',4751
'sky is clear',619
'sky is clear',596
'light rain',6162
'sky is clear',560
'light rain',335
'broken clouds',335
'sky is clear',593
haze,4547
'sky is clear',4968
'sky is clear',3111
mist,5430
'sky is clear',3981
'overcast clouds',4893
'light rain',2984
'scattered clouds',382
'light rain',3922
'overcast clouds',2612
'sky is clear',2865
'broken clouds',4444
'overcast clouds',5500
'few clouds',1243
'sky is clear',236
'light rain',2975
'overcast clouds',1941
'proximity thunderstorm',414
'light intensity drizzle',5264
'broken clouds',5486
fog,965
'light snow',1232
'sky is clear',1003
'scattered clouds',4583
'sky is clear',3458
'Sky is Clear',2546
mist,4786
'sky is clear',2639
'heavy snow',933
'light rain',3835
'Sky is Clear',6294
fog,5737
'sky is clear',1089
'sky is clear',2407
'light snow',5012
'sky is clear',4975
'few clouds',3798
'broken clouds',5628
'sky is clear',239
'light rain',5697
haze,5810
'Sky is Clear',848
mist,1113
'moderate rain',2269
mist,3681
'light rain and snow',5544
'overcast clouds',4652
'sky is clear',364
'broken clouds',2003
'light snow',211
'sky is clear',4652
'sky is clear',1813
'overcast clouds',3316
'moderate rain',3092
'broken clouds',6110
'overcast clouds',2965
mist,4861
'scattered clouds',719
'overcast clouds',4623
'scattered clouds',4762
mist,364
drizzle,4787
'moderate rain',4175
'sky is clear',2715
'moderate rain',2903
'light snow',5252
'moderate rain',1938
'sky is clear',5109
'Sky is Clear',998
mist,6060
haze,295
'overcast clouds',4206
'few clouds',3401
'sky is clear',4508
'light snow',3239
'sky is clear',5278
snow,1190
'moderate rain',5982
'Sky is Clear',5610
fog,582
'sky is clear',5308
'moderate rain',4731
'sky is clear',5332
'thunderstorm with heavy rain',3013
'broken clouds',4535
'broken clouds',4537
'light rain',4744
'sky is clear',4107
'light snow',1802
'light intensity drizzle',4779
'light snow',4716
'sky is clear',3054
'sky is clear',3023
'sky is clear',1898
'few clouds',4753
'heavy snow',349
'few clouds',4578
'overcast clouds',4810
'light rain',5597
'broken clouds',6006
'broken clouds',5117
'sky is clear',1255
'light rain',2066
mist,829
'sky is clear',1031
'sky is clear',5545
'scattered clouds',4762
'sky is clear',2017
mist,1010
'scattered clouds',5563
fog,3013
'Sky is Clear',274
'sky is clear',2769
'broken clouds',554
'scattered clouds',5998
'scattered clouds',2824
'sky is clear',410
'overcast clouds',1537
'Sky is Clear',436
'scattered clouds',5615
'few clouds',2172
'moderate rain',4833
'sky is clear',858
'light intensity drizzle',442
'sky is clear',3347
'overcast clouds',6736
'light intensity drizzle',3998
'sky is clear',5886
'sky is clear',5157
'overcast clouds',6003
'light intensity drizzle',4617
'proximity thunderstorm',2821
'overcast clouds',2568
'sky is clear',834
'few clouds',370
'sky is clear',519
'sky is clear',412
haze,5400
'sky is clear',3139
'overcast clouds',4595
'overcast clouds',330
'moderate rain',380
'sky is clear',4384
'scattered clouds',791
drizzle,5571
'sky is clear',3097
mist,2322
'overcast clouds',3743
mist,539
'moderate rain',1309
'sky is clear',4265
'Sky is Clear',5239
'few clouds',2934
'light rain',1270
'overcast clouds',4432
'Sky is Clear',6455
'light rain',5218
'scattered clouds',5149
mist,2844
'light rain',261
'overcast clouds',4527
'sky is clear',2228
'light rain',785
'overcast clouds',3414
'moderate rain',3083
'scattered clouds',3225
mist,5768
'overcast clouds',2497
'sky is clear',2551
'light rain',388
'Sky is Clear',2639
'light rain',4827
'sky is clear',873
'sky is clear',402
'light rain',2804
'overcast clouds',629
'light snow',5728
'sky is clear',3874
